date,transect,file_name,bed,lat,long,count,on_gravel,notes,id,left,top,right,bottom
6/3/2022,"5",Capture0009,Downstream,44.83641333,-75.29929667,"1",,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/6/2022,"5",Capture0015,Downstream,44.83640167,-75.29930667,"1",,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/8/2022,"5",Capture0026,Downstream,44.83649,-75.29930167,"1",,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/10/2022,"4",Capture0036,Downstream,44.83654167,-75.29933833,"1",,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/10/2022,"5",Capture0037,Downstream,44.83652167,-75.29925667,"1",,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
5/26/2011,"1.5",M2U00532.MPG,Downstream,44.83609,-75.2993,"1",,1:32 on video GPS mishap,183,2091.803288358089048,4984101.068918390199542,2121.803288358089048,4984071.068918391130865
5/31/2011,"1",M2U00549.MPG,Downstream,44.83608,-75.2993,"1",,,183,2091.803288358089048,4984101.068918390199542,2121.803288358089048,4984071.068918391130865
6/6/2011,"1",M2U00582.MPG,Downstream,44.83602,-75.2992,"1",,1:23 into transect,183,2091.803288358089048,4984101.068918390199542,2121.803288358089048,4984071.068918391130865
6/10/2011,"1",M2U00620.MPG,Downstream,44.83618,-75.2993,"1",,,183,2091.803288358089048,4984101.068918390199542,2121.803288358089048,4984071.068918391130865
6/10/2011,"1",M2U00620.MPG,Downstream,44.83623,-75.2993,"1",,,183,2091.803288358089048,4984101.068918390199542,2121.803288358089048,4984071.068918391130865
6/10/2011,"1",M2U00620.MPG,Downstream,44.83625,-75.2993,"2",,,183,2091.803288358089048,4984101.068918390199542,2121.803288358089048,4984071.068918391130865
6/13/2011,"1",M2U00637.MPG,Downstream,44.83604,-75.2993,"1",,,183,2091.803288358089048,4984101.068918390199542,2121.803288358089048,4984071.068918391130865
5/21/2012,"1",M2U00741.MPG,Downstream,44.83614667,-75.299333,"1",,,183,2091.803288358089048,4984101.068918390199542,2121.803288358089048,4984071.068918391130865
6/1/2012,"1",M2U00825.MPG,Downstream,44.836135,-75.299372,"1",,,183,2091.803288358089048,4984101.068918390199542,2121.803288358089048,4984071.068918391130865
6/1/2012,"1",M2U00825.MPG,Downstream,44.83619,-75.299355,"1",,Diver at 1:45,183,2091.803288358089048,4984101.068918390199542,2121.803288358089048,4984071.068918391130865
5/25/2016,"5",M2U01887.MPG,Downstream,44.83613333,-75.29938,"1",No,,183,2091.803288358089048,4984101.068918390199542,2121.803288358089048,4984071.068918391130865
5/31/2016,"5",M2U01928.MPG,Downstream,44.83627333,-75.29921167,"1",No,,183,2091.803288358089048,4984101.068918390199542,2121.803288358089048,4984071.068918391130865
5/30/2017,"5",M2U02067.MPG,Downstream,44.83627167,-75.299315,"1",,,183,2091.803288358089048,4984101.068918390199542,2121.803288358089048,4984071.068918391130865
6/1/2018,"4",M2U02257.MPG,Downstream,44.83626,-75.299395,"1",,,183,2091.803288358089048,4984101.068918390199542,2121.803288358089048,4984071.068918391130865
6/6/2018,"5",M2U02278.MPG,Downstream,44.8362,-75.29933833,"1",,,183,2091.803288358089048,4984101.068918390199542,2121.803288358089048,4984071.068918391130865
6/18/2018,"4",M2U02337.MPG,Downstream,44.83620833,-75.29941,"4",,,183,2091.803288358089048,4984101.068918390199542,2121.803288358089048,4984071.068918391130865
